Company,Sector,Stage,Amount($),HeadQuater,What it does,year,Founded,HeadQuarter,Founders,Investor,What_it_does,column10,Company_Brand
Newton School,EdTech Startup,Seed,650000.0,,,2020,2019.0,Bangalore,"Nishant Chandra, Siddharth Maheshwari",Nexus Venture Partners,Newton School is a platform to learn and develop skills,,
Airmeet,Tech Startup,Series A,12000000.0,,,2020,2019.0,Bangalore,"Lalit Mangal, Manoj Singh, Vinay Kumar Jasti","Global Founders Capital, Redpoint","Airmeet is an all-in-one events platform for virtual summits, meetups, and workshops that includes virtual social lounge",,
Observe ai,Tech,Series B,54000000.0,,,2020,2017.0,San Francisco,"Akash Singh, Sharath Keshava Narayana, Swapnil Jain","01 Advisors, Steadview Capital","Observe.AI develops a voice AI platform for contact centers, turning agents into top performers.",,
InCred,Finance,Debt,5000000.0,,,2020,2016.0,Mumbai,Bhupinder Singh,"Pushpak Credit, Fiscal","Provide loans for all your needs like personal loan for wedding, education loan, business loan",,
Toppr,EdTech,Series D,35000000.0,,,2020,2013.0,Mumbai,"Zishaan Hayath, Hemanth Goteti","Kaizenvest, Foundation Holdings",Toppr is an Indian educational technology and online tutoring firm,,
CarTrade,Car Trade,Series H,42500000.0,,,2020,2009.0,Mumbai,Vinay Sanghi,"Pincus, JP Morgan, Temasek, March Capital",Buy and Sell Used Cars,,
LEAD School,EdtTech,Series C,28000000.0,,,2020,2012.0,Mumbai,"Sumeet Mehta, Smita Deorah","Westbridge Capital, Elevar Equity",Offers a high-end digital classroom system focused on enhancing the learning experience,,
Servify,Manufacturing,Series C,11370000.0,,,2020,2015.0,Mumbai,Sreevathsa Prabhakar,"Blume Ventures, Tetrao","Enables top OEMs & ODMs in device distribution, sales, warranty",,
Lido Learning,EdTech,Series B,7500000.0,,,2020,2019.0,Mumbai,Sahil Sheth,"BAce Capital, Madhur Deora","Online classes for Std 4-9 in Math, Science, Coding, English & Leadership with top 1% tutors ?",,
Apna.co,Job portal,Series A,8000000.0,,,2020,2019.0,Bangalore,Nirmit Parikh,"Lightspeed India, Sequoia Capital India",Can find all types of jobs from entry level to experienced people in over 60+ categories.,,
Quintype Technologies,Tech,Series A,325000.0,,,2020,2014.0,Bangalore,Amit Rathore,"IIFL Asset Management, Raghav Bahl","Building a suite of digital publishing solutions to simplify content creation, distribution",,
Dunzo,Tech,Series E,28000000.0,,,2020,2014.0,Bangalore,"Kabeer Biswas, Ankur Agarwal, Dalvir Suri, Mukund Jha","Wes Schwalje, Alteria Capital",Order online and get free delivery from your nearby restaurants,,
Entropik,AI Platform,Series A,8000000.0,,,2020,2016.0,Bangalore,Ranjan Kumar,"IDFC-Parampara Fund, Bharat Innovation Fund",Gain insights into human emotions with AI-powered platform affect lab.,,
Livspace,Home Design,Series D,9000000.0,,,2020,2014.0,Bangalore,"Anuj Srivastava, Ramakant Sharma","Mercer Investments, Nicholas Cator",Interior design marketplace that connects interior designers,,
Ultraviolette Automotive,Automation,Series B,410000.0,,,2020,2015.0,Bangalore,"Narayan Subramaniam, Niraj Rajmohan",TVS Motor Company,Industries Automotive Electric Vehicle Energy Energy Storage,,
WinZO,Gaming,Series B,18000000.0,,,2020,2016.0,New Delhi,"Paavan Nanda, Saumya Singh Rathore","Makers Fund, Courtside Ventures",WinZO is a mobile e-Sports gaming platform in India. It is available in 10 regional languages of India.,,
SenseHawk,Solar SaaS,Series A,5000000.0,,,2020,2016.0,Bangalore,"Swarup Mavanoor, Rahul Sankhe","Falcon Edge Capital, SAIF Partners",SenseHawk is a SaaS platform that helps improve processes and saves cost in the development,,
Railofy,WL & RAC protection,Seed,900000.0,,,2020,2019.0,Mumbai,"Rohan Dedhia, Vaibhav Saraf, Hrishabh Sanghvi",Chiratae Ventures.,Enables waitlisted passengers to reach their destination at the lowest possible price if their ticket is not,,
Eloelo,Social commerce,Seed,450000.0,,,2020,2020.0,Bangalore,"Saurabh Pandey, Akshay Dubey",,"Social Commerce Venture for Wellness. View company info, jobs, team members, culture, funding and more.",,
Aibono,AgriTech,Pre-series A,2000000.0,,,2020,2014.0,Bangalore,Vivek Rajkumar,"Menterra Venture Advisors, Rianta Capital",A next dimension food & farming platform that unites two ends of the food chain from growing to consuming,,
BuildPan,SaaS startup,Seed,500000.0,,,2020,2019.0,Indore,"Sonal Dandotia, Shantanu S, Virendra Chouhan, Vaibhav Tiwari","Sunil Kumar Singhvi, Yusho Kawata","Buildpan helps you with continuous build, development and user feedback for iOS and Android development.",,
Homelane,Home interior services,Bridge,8000000.0,,,2020,2014.0,Bangalore,"Rama Harinath, Srikanth Iyer","Accel Partners, Sequoia Capital, Evolvence India, JSW Ventures",Explore 1000's of fully customizable home interior designs.,,
MyGlamm,Fashion,Series B,1000000.0,,,2020,2015.0,Mumbai,Darpan Sanghvi,Bessemer Venture Partners,Buy Makeup kit & Cosmetics Products from international makeup brand,,
Aviom,Finance,Debt,682000.0,,,2020,2016.0,New Delhi,Kajal Ilmi,"Insitor Partners, C4D Partners",A social impact focused housing finance company catering to housing needs of customers in semi urban areas,,
Flinto,EdTech Startup,Pre-Series B,7000000.0,,,2020,2013.0,Chennai,"Arunprasad Durairaj, Vijaybabu Gandhi, Shreenidhi Srirangam","Sinai Ventures, Y Combinator",Flintobox is an India-based company that produces educational activity boxes for children,,
WayCool,Agritech startup,Series C,5060000.0,,,2020,2015.0,Chennai,"Karthik Jayaraman, Sanjay Dasari","FMO, IndusInd Bank",WayCool is a social enterprise positively impacting the lives of India's farmers,,
YAP,API platform,Series A,4050000.0,,,2020,2014.0,Chennai,"Madhusudanan R, Prabhu R","Jitendra Gupta, Better Capital",Create your own stream of Neo-banking and Deposit products using our bank-grade APIs,,
Big Bang Boom Solutions,Deep Tech,Series A,1050000.0,,,2020,2018.0,Chennai,"Dr. R. Shivaraman, Praveen Dwarakanath","Mumbai Angels, Defence Innovation Organisation",It aims to co-create intellectual property that can reside within the borders of the country.,,
GUVI,EdTech Startup,Series A,800000.0,,,2020,2014.0,Chennai,Arun Prakash,"CBA Capital, Gray Matters Capital",Operates vernacular-language based education tech startup,,
BluSmart,Electricity,Pre-series A,7000000.0,,,2020,2019.0,Gurugram,"Anmol Singh Jaggi, Punit K Goyal","Kalpavriksh, JITO Angel Network","BluSmart, an all-electric ride-hailing platform",,
Cell Propulsion,Automotive company,Pre-series A,,,,2020,2017.0,Bangalore,"Nakul Kukar, Paras Kaushal, Supratim Naskar","growX ventures, Sangam Ventures",Designs and develops electric power drives and autonomous electric mobility solutions,,
MPL,Entertainment,Series B,50000000.0,,,2020,2018.0,Bangalore,"Sai Srinivas Kiran Garimella, Shubham Malhotra","Sequoia Capital India, Times Internet",Mobile Premier League (also known as MPL) is the mobile e-Sports platform,,
Spoonshot,FMCG,Seed A,1000000.0,,,2020,2015.0,Bangalore,"Kishan Vasani, Sai Sreenivas Kodur","SRI Capital, Techstars Farm to Fork Accelerator",A food science company using AI to predict consumer taste and food trends,,
Pulse,FinTech,Pre-series A,750000.0,,,2020,2015.0,Mumbai,"Amit Dhakad, Hiral Jain",,Helps people navigate through and profit off financial markets,,
Groww,FinTech,Series C,30000000.0,,,2020,2016.0,Bangalore,"Lalit Keshre, Harsh Jain, Neeraj Singh, Ishan Bansal","Y Combinator, Ribbit Capital",Leading Investment and Trading Platform,,
i3 Systems,Insurance Tech,Pre-series A,1050000.0,,,2020,2016.0,Mumbai,"Dr Mallesh Bommanahal, Varzavand Batliwala","Hatanaka Yosuke, Minomiya Takeo",Transforming India's health insurance industry with its digital solutions and AI products for automation,,
SOAL,EdTech,Series A-1,1000000.0,,,2020,2017.0,Mumbai,"Pratik Agarwal, Raj Desai, Varsha Bhambhani","Krishnan Menon, Srinivas Kollipara","A skill-tank nurturing students into disruptive, tech-empowered creators and future leaders",,
OckyPocky,EdTech,Seed,400000.0,,,2020,2015.0,Gurugram,Amit Agrawal,"SucSEED Venture Partners, ah! Ventures",Ockypocky helps kids in learning spoken english,,
Hippo Video,Video personalization,Series A,4000000.0,,,2020,2016.0,New York,Karthi Mariappan,"Surge, Kae Capital",Helps enterprise businesses achieve their marketing and sales goals through seamless video,,
Hasura,Software Company,Series B,25000000.0,,,2020,2017.0,San Francisco,"Tanmai Gopal, Rajoshi Ghosh","Nexus Venture Partners, Sam Lambert","Builds developer tooling products, including open source tools, backend",,
Qapita,FinTech,Seed,1080000.0,,,2020,2019.0,Singapore,"Ravi Ravulaparthi, Lakshman Gupta, Vamsee Mohan","Alto Partners, Mission Holdings",Qapita provides digital equity management tools for private companies and startups.,,
Sunday,FinTech,Pre-Series B,9000000.0,,,2020,2017.0,Bangkok,Cindy Kua,"SCB 10X, LINE Ventures",An end-to-end insurance products and services provider that uses AI to offer personalized packages.,,
Gamezop,Gaming,Series A,4300000.0,,,2020,2015.0,Gurugram,"Yashash Agarwal, Gaurav Agarwal","Powerhouse ventures, Tracxn,",A multi-game platform,,
Phool.co,Biomaterial startup,Pre-series A,1400000.0,,,2020,2017.0,Kanpur,Ankit Agarwal,Kaplan Foundation,They use flowers from temples across India's and create useful products such as rose incense cone,,
Chiratae Ventures,Venture capital,Seed Funding,,,,2020,2018.0,Bangalore,"Vaishali Kulkarni, Arjun Singh Bajwa",,A leading tech venture capital fund focused on enabling entrepreneurs in India.,,
MedLife,Health,,6800000.0,,,2020,2014.0,Bangalore,"Ananth Narayanan, T-ushar Kumar",Ivy Icon,"An India online platform, which provides pharmacy, diagnostics, and e-consultation in India.",,
IDfy,IT,Series A,2110000.0,,,2020,2011.0,Mumbai,"Ashok Hariharan, Vineet Jawa","Millenna FVCI III, NB Ventures, Dream Incubator",IDfy provides risk and fraud solutions,,
True Balance,Finance,Series C,,,,2020,2014.0,Gurugram,"Charlie, Jay, Martin",Balancehero,Earn money by meeting financial needs of your friends and neighbors.,,
Bira91,Craft Beer,,764000.0,,,2020,2015.0,New Delhi,Ankur Jain,Anicut Capital,A craft beer brand manufactured by B9 Beverages Pvt. Ltd.,,
Max wholesale,E-commerce,,603000.0,,,2020,2016.0,New Delhi,"Samarth Agrawal, Rohit Narang","Al Falaj Commercial Investment Co, Vistra ITCL India",MaxWholesale is an online distributor that provides authentic FMCG goods,,
Craftsvilla,E-commerce,,409000.0,,,2020,2011.0,Mumbai,"Manoj Gupta, Monica Gupta",Supera Investments,"Sells ethnic apparel, footwear, fashion accessories, beauty products, handcrafted home accessories",,
MechMocha,Entertainment,Series A,292000.0,,,2020,2011.0,Bangalore,"Arpita Kapoor, Mohit Rangaraju, Shilp Gupta","Accel India, Blume Ventures, 3F Ventures, Akatsuki Inc",India's first vernacular social gaming platform,,
Mindhouse,Healthtech,,286000.0,,,2020,2019.0,Gurugram,"Pankaj Chaddah, Staff Pooja Khanna","GGV Capital, Sahi Barual",A gym to train your mind offering workouts and programmes,,
DeepSync,AI startup,,136000.0,,,2020,2018.0,Chandigarh,"Ishan Sharma, Rishikesh","Grand Anicut Angel Fund (GAAF), AL Trust, Beeline Impex Private Limited, 9Unicorns, Accelerator Fund","A revolutionary way to record your content, without you really speaking",,
Eruditus,Education,,,,,2020,2010.0,Mumbai,"Chaitanya Kalipatnapu, Ashwin Damera","Bertelsmann India Investments, Sequoia Capital India",Bring world-class business and professional education to a global audience,,
Gradeup,Education,,546000.0,,,2020,2015.0,Noida,Shobhit Bhatnagar,"Times Internet, TLabs","India's largest exam preparation destination,",,
Tracxn,Investment,Series B,887000.0,,,2020,2013.0,Bangalore,"Abhishek Goyal, Neha Singh","Saif partners, Accel partners, Sequoia capital",Tracxn is the research partner for Venture Capitalist,,
Purple Style Labs,Fashion,,43000.0,,,2020,2015.0,Mumbai,Abhishek Agarwal,"Jitendra Gupta, Astarc Ventures.",Shopping experience and foster the growth of Indian brands and designers.,,
ProPhysio,Health,,40900.0,,,2020,2016.0,Bangalore,Pramod Ravindra,Nestavera Ventures.,The largest provider of physiotherapy and rehabilitation services,,
Flickstree,Tech,,40900.0,,,2020,2014.0,Mumbai,"Saurabh Singh, Rahul Jain, Nagender Sangra","MOX, Venture Catalysts",World's largest video publisher,,
Settl,TravelTech,,,,,2020,2015.0,Gurugram,"Amit Singh, Deepanshu Malviya","Sojitz, SIG Global India Fund",Get affordable AC bus-rides everyday,,
Fanspole,Entertainment,Pre-Seed,,,,2020,2015.0,Thane,"Aniket Shinde, Hardik Gondaliya","Mohan Verma, Better Capital",India's only social fantasy gaming platform,,
Sarva,Healthcare,,,,,2020,2016.0,Mumbai,Sarvesh Shashi,"Shikhar Dhawan, Mantra Capital",A wellness ecosystem built on the authentic foundations of Yoga,,
Univ.ai,EdTech,,,,,2020,2019.0,Bangalore,"Siddharth Das, Dr Rahul Dave, Dr Pavlos Protopapas",Kiran Mazumdar Shaw.,"A distributed, global educational powerhouse that draws on technology",,
PurohitJi,Linguistic Spiritual,,,,,2020,,Bangalore,Nakerikanti Harish,Bhadresh,App for Hindu Puja Products & Services,,
CredoLab,Tech,Series A,7000000.0,,,2020,2015.0,Singapore,Peter Barcak,"GB Group, Walden International",AI credit scoring platform,,
Brick&Bolt,Construction,Series A,2200000.0,,,2020,2018.0,Bangalore,"Arpit Rajpurohit, Jayesh Rajpurohit","Meghna Agarwal, Navin Dhanuka","A construction company doing house construction, building construction, commercial construction",,
Grinntech,Battery manufacturer,,2000000.0,,,2020,2013.0,Chennai,"Nikhilesh Mishra, Puneet Jain","V Sumantran, V Lakshmi Narayanan",Leading on all fronts of battery design,,
6Degree,Fashion,,340000.0,,,2020,2014.0,Mumbai,"Amit Bhardwaj, Nikhil Hegde.","Keiretsu Forum, SucSEED Venture Partners",India's leading fashion business platform,,
Exprs,Nano Distribution Network,,5660000.0,,,2020,2018.0,,"Srinivas Madhavam, Srikanth Rajashekhar, Rahul Mehta","Sweta Rau, Sandeep Kapoor","Nano Distribution Centres, enabling seamless connectivity of businesses & Consumers.",,
Bikayi,E-commerce,Seed round,2000000.0,,,2020,2019.0,Hyderabad,"Sonakshi Nathani, Ashutosh Singla",Mantis ventures,Provides free whatsapp integrated E-Commerce Store,,
Virtual Forest,Tech,,,,,2020,2019.0,Bangalore,Omer Basith,Napino Auto and Electronics Ltd,Tracking seasonal change in virtual forest,,
The Health company,AI health,,350000.0,,,2020,2018.0,Gurugram,"Devansh Jain Nawal, Ackshay Jain","VCATS, First Cheque, 9Unicorns, Marquee investors",Organic superfoods & free personal health coaching that actually work.,,
TrulyMadly Matchmakers,Dating app,Pre-series A,110000.0,,,2020,2014.0,Gurugram,Snehil Khanor,"AngelList, Inflection Point Ventures, The Chennai Angels",One of the best dating Apps in India connecting singles across the country.,,
TrueFan,Media,Seed round,4300000.0,,,2020,2020.0,Mumbai,"Nimish Goel, Nevaid Aggarwal, Devender Bindal","Mayfield India, Saama Capital, Ronnie Screwvala",Enables users to play quizzes around celebrities and winners get a personalised video message from stars.,,
Fanspole,Gaming,Pre-seed Round,,,,2020,2015.0,Mumbai,"Aniket Shinde, Hardik Gondaliya",Better Capital,A free app that users can use to create contests and play,,
Byju's,EdTech,,122000000.0,,,2020,2011.0,Bangalore,Byju Raveendran,DST Global,Provides online learning classes,,
Avail Finance,Fintech,Series B,11635000.0,,,2020,2017.0,Bangalore,"Ankush Aggarwal, Tushar Mehndiratta","Alphawave, Matrix Partners",Instant online loan app,,
The Money Club,AI,,,,,2020,,Delhi,"Manuraj Jain, Surajit Raj",Venture Catalysts,AI based chit fund cashier app,,
Virohan,Healthcare/Edtech,Seed Round & Series A,2800000.0,,,2020,2018.0,Gurgaon,"Kunaal Dudeja, Nalin Saluja, Archit Jayaswal","Keiretsu Forum, Elea Foundation",Healthcare training company,,
OneCode,Social Commerce,Seed round,,,,2020,,Gurugram,"Manish Shara, Yash Desai",WaterBridge Ventures,Connects new-age digital first brands with relevant sellers,,
Verloop.io,AI,,5000000.0,,,2020,2015.0,,Gaurav Singh,Alpha Wave incubation,Helps automate customer service using Artificial Intelligence,,
Otipy,Agritech/Commerce,Pre Series A,1000000.0,,,2020,2020.0,,Varun Khanna,Inflection Point Ventures,Connects consumers with farmers thorugh women resellers,,
Evage,Mobility tech,,,,,2020,2014.0,Chandigarh,Inderveer Singh,Anand Shah,Develop emissions-free electric commercial vehicles,,
LEAD School,EdTech,Series C,28000000.0,,,2020,2012.0,Mumbai,"Sumeet Yashpal Mehta, Smita Deorah","WestBridge Capital, Elevar Equity",Offers an integrated system for schools by helping them digitize the entire curriculum,,
Trell,Social e-commerce,Series A,11000000.0,,,2020,2016.0,Bangalore,"Pulkit Agrawal, Prashant Sachan, Arun Lodhi, Bimal Kartheek Rebba, Nirav Sheth","KTB Network, Samsung Ventures, Ankur Nagpal, Gokul Rajaram, Vineet Buch",Allows users to share their travel experiences,,
